,date,equipment,city,ca,weekday,is_weekend,bool_school_holiday_A,bool_school_holiday_B,bool_school_holiday_C,is_bankholiday,distance_between_closest_bank_holiday,ca_last_year_same_weekday
0,2017-01-01,ordinateur,Paris,6934.2599161690405,Sunday,True,True,True,True,True,0,
1,2017-01-02,ordinateur,Paris,15184.361779703791,Monday,False,True,True,True,False,105,
2,2017-01-03,ordinateur,Paris,14418.674932916178,Tuesday,False,False,False,False,False,104,
3,2017-01-04,ordinateur,Paris,7768.823468314428,Wednesday,False,False,False,False,False,103,
4,2017-01-05,ordinateur,Paris,8627.40356456693,Thursday,False,False,False,False,False,102,
5,2017-01-06,ordinateur,Paris,7189.332572031114,Friday,False,False,False,False,False,101,
6,2017-01-07,ordinateur,Paris,7263.9354529940665,Saturday,True,False,False,False,False,100,
7,2017-01-08,ordinateur,Paris,15104.579751144416,Sunday,True,False,False,False,False,99,6934.2599161690405
8,2017-01-09,ordinateur,Paris,9028.219075741175,Monday,False,False,False,False,False,98,15184.361779703791
9,2017-01-10,ordinateur,Paris,5834.74756582696,Tuesday,False,False,False,False,False,97,14418.674932916178
10,2017-01-11,ordinateur,Paris,6640.221422930181,Wednesday,False,False,False,False,False,96,7768.823468314428
11,2017-01-12,ordinateur,Paris,14244.856310866056,Thursday,False,False,False,False,False,95,8627.40356456693
12,2017-01-13,ordinateur,Paris,9247.645580783339,Friday,False,False,False,False,False,94,7189.332572031114
13,2017-01-14,ordinateur,Paris,8631.325773539855,Saturday,True,False,False,False,False,93,7263.9354529940665
14,2017-01-15,ordinateur,Paris,7846.337873250141,Sunday,True,False,False,False,False,92,15104.579751144416
15,2017-01-16,ordinateur,Paris,8829.213336539971,Monday,False,False,False,False,False,91,9028.219075741175
16,2017-01-17,ordinateur,Paris,12166.214718456875,Tuesday,False,False,False,False,False,90,5834.74756582696
17,2017-01-18,ordinateur,Paris,6866.154384196864,Wednesday,False,False,False,False,False,89,6640.221422930181
18,2017-01-19,ordinateur,Paris,9912.769254714587,Thursday,False,False,False,False,False,88,14244.856310866056
19,2017-01-20,ordinateur,Paris,6425.474157992998,Friday,False,False,False,False,False,87,9247.645580783339
20,2017-01-21,ordinateur,Paris,6305.652999650616,Saturday,True,False,False,False,False,86,8631.325773539855
21,2017-01-22,ordinateur,Paris,6091.439585531256,Sunday,True,False,False,False,False,85,7846.337873250141
22,2017-01-23,ordinateur,Paris,12738.610221223846,Monday,False,False,False,False,False,84,8829.213336539971
23,2017-01-24,ordinateur,Paris,8212.725265721878,Tuesday,False,False,False,False,False,83,12166.214718456875
24,2017-01-25,ordinateur,Paris,11716.885574972319,Wednesday,False,False,False,False,False,82,6866.154384196864
25,2017-01-26,ordinateur,Paris,7450.236517370735,Thursday,False,False,False,False,False,81,9912.769254714587
26,2017-01-27,ordinateur,Paris,6412.728749099806,Friday,False,False,False,False,False,80,6425.474157992998
27,2017-01-28,ordinateur,Paris,9438.94994335881,Saturday,True,False,False,False,False,79,6305.652999650616
28,2017-01-29,ordinateur,Paris,11384.495569112496,Sunday,True,False,False,False,False,78,6091.439585531256
29,2017-01-30,ordinateur,Paris,9845.974835377649,Monday,False,False,False,False,False,77,12738.610221223846
30,2017-01-31,ordinateur,Paris,9925.273979156707,Tuesday,False,False,False,False,False,76,8212.725265721878
31,2017-02-01,ordinateur,Paris,8069.8590412167005,Wednesday,False,False,False,False,False,75,
32,2017-02-02,ordinateur,Paris,8914.2278147506,Thursday,False,False,False,False,False,74,
33,2017-02-03,ordinateur,Paris,5083.660740269513,Friday,False,False,False,False,False,73,
34,2017-02-04,ordinateur,Paris,11674.181877087414,Saturday,True,False,False,True,False,72,
35,2017-02-05,ordinateur,Paris,8998.316334998342,Sunday,True,False,False,True,False,71,
36,2017-02-06,ordinateur,Paris,5908.134696654635,Monday,False,False,False,True,False,70,
37,2017-02-07,ordinateur,Paris,10074.759734388525,Tuesday,False,False,False,True,False,69,
38,2017-02-08,ordinateur,Paris,10433.367873857453,Wednesday,False,False,False,True,False,68,8069.8590412167005
39,2017-02-09,ordinateur,Paris,10526.982233055322,Thursday,False,False,False,True,False,67,8914.2278147506
40,2017-02-10,ordinateur,Paris,6261.612554206854,Friday,False,False,False,True,False,66,5083.660740269513
41,2017-02-11,ordinateur,Paris,7131.294870638896,Saturday,True,False,True,True,False,65,11674.181877087414
42,2017-02-12,ordinateur,Paris,9974.954485379958,Sunday,True,False,True,True,False,64,8998.316334998342
43,2017-02-13,ordinateur,Paris,7310.522833945479,Monday,False,False,True,True,False,63,5908.134696654635
44,2017-02-14,ordinateur,Paris,13374.634289849711,Tuesday,False,False,True,True,False,62,10074.759734388525
45,2017-02-15,ordinateur,Paris,10005.136216923687,Wednesday,False,False,True,True,False,61,10433.367873857453
46,2017-02-16,ordinateur,Paris,5410.869582031922,Thursday,False,False,True,True,False,60,10526.982233055322
47,2017-02-17,ordinateur,Paris,7897.37418096684,Friday,False,False,True,True,False,59,6261.612554206854
48,2017-02-18,ordinateur,Paris,6367.706749810607,Saturday,True,True,True,True,False,58,7131.294870638896
49,2017-02-19,ordinateur,Paris,8075.867276268413,Sunday,True,True,True,True,False,57,9974.954485379958
50,2017-02-20,ordinateur,Paris,12307.771600306332,Monday,False,True,True,False,False,56,7310.522833945479
51,2017-02-21,ordinateur,Paris,7612.539982460669,Tuesday,False,True,True,False,False,55,13374.634289849711
52,2017-02-22,ordinateur,Paris,8102.8523085334045,Wednesday,False,True,True,False,False,54,10005.136216923687
53,2017-02-23,ordinateur,Paris,9553.58384109005,Thursday,False,True,True,False,False,53,5410.869582031922
54,2017-02-24,ordinateur,Paris,8187.811063349654,Friday,False,True,True,False,False,52,7897.37418096684
55,2017-02-25,ordinateur,Paris,7812.059561023342,Saturday,True,True,True,False,False,51,6367.706749810607
56,2017-02-26,ordinateur,Paris,6835.44564654367,Sunday,True,True,True,False,False,50,8075.867276268413
57,2017-02-27,ordinateur,Paris,14986.817908032595,Monday,False,True,False,False,False,49,12307.771600306332
58,2017-02-28,ordinateur,Paris,11109.681137072304,Tuesday,False,True,False,False,False,48,7612.539982460669
59,2017-03-01,ordinateur,Paris,6161.804405573877,Wednesday,False,True,False,False,False,47,
60,2017-03-02,ordinateur,Paris,7690.408927616477,Thursday,False,True,False,False,False,46,
61,2017-03-03,ordinateur,Paris,8374.465333528178,Friday,False,True,False,False,False,45,
62,2017-03-04,ordinateur,Paris,7755.833842456994,Saturday,True,True,False,False,False,44,
63,2017-03-05,ordinateur,Paris,9332.185662533411,Sunday,True,True,False,False,False,43,
64,2017-03-06,ordinateur,Paris,4963.45389153314,Monday,False,False,False,False,False,42,
